YMD_ID|HH_ID|DAY_CLS|WKDAY_HLDAY_CLS|WTHR_GRP_CD|BUS_ROUTE_ID|BUS_CO_ID|BUS_STTN_ID|USR_TYPE|GETON_CNT|GETOFF_CNT|TRANSF_PSNGR_CNT|DRVN_INCOME|TRANSF_PAY|ETL_TYPE|ETL_DATE
20220529|00|1501|2803||30300128|130710001|3014014|9701|0|1|0|300|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|3053004|9701|9|5|0|15600|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|3053004|9702|5|0|0|5500|0|0603|2022-06-09 07:22:25
20220529|00|1501|2803||30300128|130710001|3053005|9701|2|7|0|5200|0|0603|2022-06-09 07:22:25
20220529|00|1501|2803||30300128|130710001|3053005|9702|0|1|0|0|0|0603|2022-06-09 07:22:25
20220529|00|1501|2803||30300128|130710001|3054003|9701|1|7|0|3500|0|0603|2022-06-09 07:22:26
20220529|00|1501|2803||30300128|130710001|3056002|9701|17|1|1|27800|300|0603|2022-06-09 07:22:26
20220529|00|1501|2803||30300128|130710001|3056002|9702|6|0|0|6600|0|0603|2022-06-09 07:22:25
20220529|00|1501|2803||30300128|130710001|3056003|9701|1|13|0|4100|0|0603|2022-06-09 07:22:25
20220529|00|1501|2803||30300128|130710001|3056003|9702|0|2|0|600|0|0603|2022-06-09 07:22:26
20220529|00|1501|2803||30300128|130710001|3062004|9701|9|4|0|16200|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|3062004|9702|2|2|0|2200|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|3062006|9701|1|3|0|2600|0|0603|2022-06-09 07:22:28
20220529|00|1501|2803||30300128|130710001|3062007|9701|1|2|0|2300|0|0603|2022-06-09 07:22:26
20220529|00|1501|2803||30300128|130710001|8001420|9701|0|14|0|4200|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8001420|9702|0|1|0|300|0|0603|2022-06-09 07:22:26
20220529|00|1501|2803||30300128|130710001|8007052|9701|1|1|0|2000|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007053|9701|1|2|0|2300|0|0603|2022-06-09 07:22:26
20220529|00|1501|2803||30300128|130710001|8007055|9701|0|7|0|2700|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007057|9701|1|1|0|1700|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007057|9702|1|0|0|1100|0|0603|2022-06-09 07:22:28
20220529|00|1501|2803||30300128|130710001|8007080|9701|4|0|0|6800|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007268|9701|0|20|0|6000|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007268|9702|0|12|0|3600|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007270|9701|0|1|0|300|0|0603|2022-06-09 07:22:27
20220529|00|1501|2803||30300128|130710001|8007272|9701|0|8|0|2400|0|0603|2022-06-09 07:22:28
20220529|00|1501|2803||30300128|130710001|8007272|9702|0|6|0|1800|0|0603|2022-06-09 07:22:27
