YMD_ID|HH_ID|DAY_CLS|WKDAY_HLDAY_CLS|WTHR_GRP_CD|BUS_ROUTE_ID|BUS_CO_ID|BUS_STTN_ID|USR_TYPE|GETON_CNT|GETOFF_CNT|TRANSF_PSNGR_CNT|DRVN_INCOME|TRANSF_PAY|ETL_TYPE|ETL_DATE
20220530|05|1502|2801||30300002|130010007|8001418|9702|0|1|0|0|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300002|130010007|8001744|9701|4|0|0|5000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8001783|9701|9|0|1|10000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8001792|9701|10|0|0|12500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300002|130010007|8001792|9702|1|0|0|750|0|0603|2022-06-10 07:38:17
20220530|05|1502|2801||30300002|130010007|8001794|9701|6|0|0|7500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300002|130010007|8001963|9701|8|0|0|10000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8001996|9701|4|0|0|5000|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300002|130010007|8002050|9701|2|0|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8002131|9701|8|0|0|10000|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300002|130010007|8002133|9701|4|0|0|5000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8002133|9702|1|0|0|750|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8002251|9701|1|0|0|1250|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300002|130010007|8002254|9701|10|0|0|12500|0|0603|2022-06-10 07:38:17
20220530|05|1502|2801||30300002|130010007|8002254|9702|1|0|0|750|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300002|130010007|8002437|9701|14|6|10|5000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8002437|9702|0|1|0|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300002|130010007|8002437|9799|1|0|0|0|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300002|130010007|8002611|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8002881|9701|4|0|0|5000|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300002|130010007|8002909|9701|2|0|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8002980|9701|9|0|0|11250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300002|130010007|8003020|9701|0|2|0|0|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300003|130510004|8001764|9701|1|0|0|1100|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300004|130510004|8007100|9701|2|0|0|2200|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300005|130010002|8002273|9701|4|0|0|5000|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300011|130010002|8001956|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300016|130010004|8001956|9701|2|0|0|2500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300016|130010004|8003062|9702|1|0|0|750|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300017|130010004|8002002|9701|1|0|0|1250|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300036|130010011|8001206|9701|1|0|0|1250|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300036|130010011|8002170|9701|1|0|0|1250|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300036|130010011|8002189|9701|0|1|0|0|0|0603|2022-06-10 07:38:17
20220530|05|1502|2801||30300036|130010012|8001054|9701|2|0|0|2500|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300036|130010012|8001063|9701|3|0|0|3750|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300036|130010012|8001365|9701|1|0|0|1250|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300036|130010012|8001420|9701|1|1|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300036|130010012|8001527|9701|2|2|0|2500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300036|130010012|8001994|9701|8|1|0|10000|0|0603|2022-06-10 07:38:17
20220530|05|1502|2801||30300036|130010012|8002330|9701|0|1|0|0|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300036|130010012|8002757|9701|2|1|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8001005|9701|1|0|0|1250|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8001036|9701|4|0|0|5000|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8001096|9701|12|2|2|12500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8001349|9701|6|0|3|3750|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8001443|9701|6|0|0|7500|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8001534|9701|2|5|1|1250|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8001574|9701|2|4|0|2500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8002075|9701|8|1|2|7500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002100|9701|12|1|3|11250|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002141|9701|2|0|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002311|9701|5|0|2|3750|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002312|9701|6|0|0|7500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002315|9701|1|0|1|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002316|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002340|9701|6|0|0|7500|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002343|9701|4|2|0|5000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002402|9701|3|0|0|3750|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002412|9701|2|1|2|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002558|9701|3|15|1|2500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8002608|9701|2|1|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002617|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002618|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002635|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002658|9701|4|0|0|5000|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8002720|9701|4|0|0|5000|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002721|9701|0|1|0|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002898|9701|3|1|0|3750|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8002906|9702|1|0|0|750|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002920|9701|2|0|1|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8002973|9701|0|5|0|0|0|0603|2022-06-10 07:38:17
20220530|05|1502|2801||30300037|130010006|8002984|9701|2|0|0|2500|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8003003|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8003006|9701|2|0|0|2500|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8005518|9701|3|0|0|3750|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8005881|9701|2|0|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8005921|9701|0|1|0|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300037|130010006|8005960|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300037|130010006|8005999|9701|2|4|0|2500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|8006001|9701|2|0|0|2500|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300037|130010006|9005504|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001037|9701|4|0|0|5000|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001040|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001049|9701|1|0|0|1250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001050|9701|0|1|0|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300038|130010014|8001051|9701|0|1|0|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300038|130010014|8001054|9701|2|0|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001058|9701|1|3|0|1250|0|0603|2022-06-10 07:38:15
20220530|05|1502|2801||30300038|130010014|8001059|9701|7|0|0|8750|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001132|9701|5|0|0|6250|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001133|9701|2|0|0|2500|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001162|9701|0|1|0|0|0|0603|2022-06-10 07:38:14
20220530|05|1502|2801||30300038|130010014|8001348|9701|1|2|0|1250|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300038|130010014|8001389|9701|0|1|0|0|0|0603|2022-06-10 07:38:16
20220530|05|1502|2801||30300038|130010014|8001400|9701|3|0|0|3750|0|0603|2022-06-10 07:38:15
