SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
147471|0000000530346171              |20220522|093734|023|676|1|30300054|130010007|130759347|1|20220522|090206|8001567|20220522|094611|8002202|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147473|0000000540004200              |20220522|103034|011|676|1|30300089|130010011|130759517|1|20220522|075622|8001567|20220522|110042|8007189|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147475|0000000541088801              |20220522|121523|011|676|1|30300089|130010011|130759512|1|20220522|094048|8001567|20220522|122027|8002206|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147477|0000000545683233              |20220522|130233|014|676|1|30300054|130010007|130759347|1|20220522|122748|8001567|20220522|130352|8002556|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147479|0000000303136270              |20220522|061424|020|676|2|30300040|130010013|130759830|1|20220522|054230|8002075|20220522|062018|8005865|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147886|0000000303138344              |20220522|113857|001|676|1|30300087|130010008|130752160|1|20220522|104336|8006006|20220522|115103|8001238|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147888|0000000312720136              |20220522|140040|012|675|1|30300053|130010002|130752386|1|20220522|122547|8002276|20220522|141026|8002965|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147890|0000000260155929              |20220522|222047|010|674|1|30300100|130010002|130752345|1|20220522|205642|8002542|20220522|222525|8001083|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147892|0000000303136270              |20220522|060616|020|676|1|30300072|130010001|130759434|1|20220522|053936|8002608|20220522|061249|8002075|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147894|0000000297890643              |20220522|071443|028|676|1|30300090|130010005|130759219|1|20220522|070238|8002608|20220522|072816|8002954|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147896|0000000520180855              |20220522|094653|003|679|1|30300063|130010001|130759488|1|20220522|084432|8002357|20220522|095229|8001090|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147898|0000000505355009              |20220522|154723|028|675|1|30300083|130010001|130759710|1|20220522|153409|8001488|20220522|162307|8002826|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147900|0000000535499726              |20220522|155620|026|675|1|30300047|130010001|130759408|1|20220522|152012|8001488|20220522|155933|8001484|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147902|0000000521771886              |20220522|100534|009|679|1|30300063|130010001|130759740|1|20220522|074338|8002357|20220522|101621|8001097|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147904|0000000526759543              |20220522|111617|012|680|1|30300011|130010002|130752501|1|20220522|110814|8002542|20220522|113850|8002837|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
147906|0000000507325873              |20220522|141042|016|676|1|30300037|130010006|130752062|1|20220522|133145|8002608|20220522|143031|8002378|1|0|0|      |20220522|20220522|0603|2022-06-02 07:02:05
