SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
176135|0000000619180730              |20220605|141837|002|675|0|30300101|130010002|130752304|1|20220605|140342|8002108|20220605|144419|8007011|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176137|0000000918002543              |20220605|145610|010|675|0|30300101|130010002|130752325|1|20220605|144436|8002108|20220605|150028|8001029|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176139|0000000700727369              |20220605|152017|007|675|0|30300101|130010002|130752326|1|20220605|150657|8001785|20220605|155833|8002089|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176141|0000000441856121              |20220605|172406|011|676|0|30300040|130010013|130759873|1|20220605|145736|8001426|20220605|172647|8003032|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176143|0000000729200418              |20220605|061241|003|675|0|30300053|130010002|130752398|1|20220605|055639|8001785|20220605|064336|8001567|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176145|0000000921450410              |20220605|070513|012|675|0|30300053|130010002|130752377|1|20220605|064313|8001785|20220605|073147|8002814|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176147|0000000757948119              |20220605|082933|008|675|0|30300048|130010006|130752069|1|20220605|074958|8001426|20220605|083205|8003032|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176554|0000000693367249              |20220605|171300|008|675|0|30300059|130010004|130752204|1|20220605|131859|8006006|20220605|173449|8002724|2|2000|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176556|0000000699126049              |20220605|055432|026|676|0|30300130|130010008|130752146|1|20220605|053314|8002733|20220605|060008|8002437|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
176558|0000000788116385              |20220605|055435|024|676|0|30300130|130010008|130752146|1|20220605|053314|8002733|20220605|060409|8002155|1|1250|0|      |20220605|20220605|0603|2022-06-16 07:01:55
