SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
343832|0000000757847972              |20220525|082300|003|675|1|30300055|130010014|130753209|1|20220525|073035|8001349|20220525|082533|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343834|0000000643242929              |20220525|134618|006|676|1|30300037|130010006|130752049|1|20220525|133559|8001349|20220525|134926|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343836|0000000903841070              |20220525|184928|020|676|1|30300037|130010006|130752038|1|20220525|145432|8001349|20220525|185424|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343838|0000000777422916              |20220525|190756|025|676|1|30300037|130010006|130752040|1|20220525|171905|8001349|20220525|191259|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343840|0000000776224542              |20220525|095924|015|676|1|30300037|130010006|130752062|1|20220525|093931|8001349|20220525|100228|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343842|0000000679724729              |20220525|104218|019|675|1|30300055|130010014|130753512|1|20220525|095326|8001349|20220525|104657|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343844|0000000629254644              |20220525|124959|005|675|1|30300055|130010014|130753229|1|20220525|120519|8001349|20220525|125414|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343846|0000000770863293              |20220525|140217|006|675|1|30300055|130010014|130753268|1|20220525|055538|8001349|20220525|140651|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343848|0000000638781700              |20220525|162859|020|676|2|30300037|130010006|130752014|1|20220525|161714|8001349|20220525|163322|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343850|0000000740489048              |20220525|171032|016|676|1|30300037|130010006|130759004|1|20220525|165818|8001349|20220525|171542|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
343852|0000000629380223              |20220525|185712|019|676|1|30300037|130010006|130752027|1|20220525|184724|8001349|20220525|190021|8002343|1|0|0|      |20220525|20220525|0603|2022-06-05 07:04:47
