SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
511915|0000000912111648              |20220603|211934|021|676|0|30300040|130010007|130759346|1|20220603|203516|8001062|20220603|212934|8002997|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
511917|0000000743168768              |20220603|211856|010|676|0|30300070|130010004|130752604|1|20220603|195017|8002794|20220603|214352|8001383|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
511919|0000000730280006              |20220603|214120|016|676|0|30300130|130010008|130752145|1|20220603|205811|8002487|20220603|215445|8002820|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512374|0000000776594874              |20220603|212851|022|676|0|30300090|130010005|130759260|1|20220603|200033|8007155|20220603|213643|8070027|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512376|0000000734021257              |20220603|220207|022|676|0|30300071|130010009|130759144|1|20220603|125253|8002278|20220603|220944|8002642|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512378|0000000918217818              |20220603|054628|022|676|0|30300040|130010013|130759871|1|20220603|053711|8002240|20220603|061831|8002412|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512380|0000000908045339              |20220603|073832|001|676|0|30300090|130010005|130759225|1|20220603|053502|8007155|20220603|074827|8070027|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512382|0000000625217032              |20220603|070346|007|676|0|30300086|130010013|130759879|1|20220603|053841|8001413|20220603|080056|8001310|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512384|0000000758568381              |20220603|072413|021|676|0|30300071|130010009|130759106|1|20220603|053239|8002278|20220603|074242|8002743|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512386|0000000904125406              |20220603|075816|008|676|0|30300040|130010007|130759388|1|20220603|073126|8002240|20220603|082524|8001275|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512388|0000000719414752              |20220603|075249|006|676|0|30300090|130010005|130759266|1|20220603|054530|8007155|20220603|082703|8002468|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512795|0000000400189257              |20220603|074925|029|676|0|30300040|130010007|130759385|1|20220603|071531|8007275|20220603|075525|8002075|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512797|0000001110225414              |20220603|082419|013|676|0|30300070|130010004|130752604|1|20220603|065007|8001645|20220603|084058|8003101|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512799|0000000686155487              |20220603|082737|024|676|0|30300054|130010007|130759354|1|20220603|064218|8001645|20220603|083837|8007011|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512801|0000000788574629              |20220603|084405|029|676|0|30300070|130010004|130752606|1|20220603|071738|8001645|20220603|090148|8003101|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512803|0000000186482260              |20220603|090555|002|676|0|30300051|130010008|130752126|1|20220603|090357|8002950|20220603|092952|8002605|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512805|0000000694933591              |20220603|084320|013|832|1|30300128|130710001|130759930|1|20220603|064029|8007275|20220603|091940|3053005|1|450|300|      |20220603|20220603|0603|2022-06-14 07:03:10
512807|0000000788995812              |20220603|090313|006|675|0|30300101|130010002|130752396|1|20220603|082025|8001645|20220603|092035|8001924|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512809|0000000691960241              |20220603|092955|003|676|0|30300051|130010008|130752161|1|20220603|092827|8002950|20220603|095426|8002605|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512811|0000000789014219              |20220603|182047|005|678|0|30300074|130010014|130753613|1|20220603|145311|8002950|20220603|184339|8002972|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512813|0000000400212209              |20220603|181523|005|676|0|30300051|130010008|130752147|1|20220603|181159|8002950|20220603|184245|8002734|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
512815|0000000789340709              |20220603|182601|009|832|1|30300128|130710001|130759920|1|20220603|060623|8007275|20220603|190156|3053005|1|450|300|      |20220603|20220603|0603|2022-06-14 07:03:10
512817|0000001110506486              |20220603|184458|025|832|1|30300128|130710001|130759922|1|20220603|053209|8007275|20220603|192736|3053005|1|450|300|      |20220603|20220603|0603|2022-06-14 07:03:10
512819|0000000699921319              |20220603|190040|009|832|1|30300128|130710001|130759924|1|20220603|061133|8007275|20220603|193442|8007052|1|450|300|      |20220603|20220603|0603|2022-06-14 07:03:10
512821|0000000488266751              |20220603|191916|018|832|1|30300128|130710001|130759927|1|20220603|061016|8007275|20220603|194628|8007293|1|450|300|      |20220603|20220603|0603|2022-06-14 07:03:10
513228|0000000787898878              |20220603|074532|024|675|0|30300067|130010001|130759742|4|20220603|073833|8005876|20220603|075541|8001467|1|750|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513230|0000000796407175              |20220603|072029|011|675|0|30300047|130010001|130759705|1|20220603|070131|8002119|20220603|073925|8007177|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513232|0000000693273576              |20220603|074750|010|832|0|30300128|130710001|130759911|1|20220603|051656|3053004|20220603|081336|8007290|1|1700|300|      |20220603|20220603|0603|2022-06-14 07:03:10
513234|0000000785684294              |20220603|081435|026|680|0|30300011|130010002|130752316|1|20220603|080806|8002119|20220603|082354|8001011|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513236|0000000684739478              |20220603|075339|002|675|0|30300064|130010015|130759613|1|20220603|074524|8005876|20220603|082111|8002357|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513238|0000000789474483              |20220603|080537|007|675|0|30300065|130010004|130752268|4|20220603|064804|8005876|20220603|081922|8001467|1|750|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513240|0000001118272826              |20220603|082534|003|676|0|30300043|130010015|130759640|1|20220603|065346|8005876|20220603|085528|8002602|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513242|0000000793313935              |20220603|083137|022|832|0|30300128|130710001|130759917|1|20220603|060826|3053004|20220603|090554|8007276|1|1700|300|      |20220603|20220603|0603|2022-06-14 07:03:10
513244|0000001118213567              |20220603|085753|009|675|0|30300064|130010015|130759603|1|20220603|084916|8005876|20220603|085957|8001835|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513246|0000000698864326              |20220603|091942|013|832|1|30300128|130710001|130759922|1|20220603|053209|3053004|20220603|092652|8007296|1|300|0|      |20220603|20220603|0603|2022-06-14 07:03:10
513248|0000000785142963              |20220603|085030|022|832|0|30300128|130710001|130759919|1|20220603|052416|3053004|20220603|091437|8007290|1|1700|300|      |20220603|20220603|0603|2022-06-14 07:03:10
513250|0000000400182516              |20220603|091154|006|675|0|30300064|130010015|130759673|1|20220603|063142|8005876|20220603|093912|8002357|1|1250|0|      |20220603|20220603|0603|2022-06-14 07:03:10
