SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
121155|0000000536383233              |20220530|101937|011|676|0|30300054|130010007|130759347|4|20220530|093136|8001055|~       |      |~      |1|750|0|      |20220530|~       |0603|2022-06-10 07:01:53
121157|0000000541928813              |20220530|124018|022|676|0|30300072|130010001|130759427|4|20220530|063240|8005881|~       |      |~      |1|750|0|      |20220530|~       |0603|2022-06-10 07:01:53
121159|0000000535931798              |20220530|195458|022|676|0|30300041|130010012|130753316|1|20220530|191329|8002851|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121161|0000000280091221              |20220530|201736|020|674|1|30300002|130010007|130759327|1|20220530|194214|8002881|~       |      |~      |1|0|0|      |20220530|~       |0603|2022-06-10 07:01:53
121163|0000000508267317              |20220530|203355|014|675|1|30300081|130010011|130759506|4|20220530|200228|8002075|~       |      |~      |1|0|0|      |20220530|~       |0603|2022-06-10 07:01:53
121165|0000000531713231              |20220530|210118|009|675|0|30300048|130010006|130752061|1|20220530|204656|8002452|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121167|0000000800508816              |20220530|221217|021|676|0|30300040|130010013|130759813|1|20220530|214229|8002760|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121169|0000000533649422              |20220530|075208|002|676|0|30300088|130010002|130752338|4|20220530|074049|8001631|~       |      |~      |1|750|0|      |20220530|~       |0603|2022-06-10 07:01:53
121171|0000000301056287              |20220530|080821|008|675|1|30300080|130010009|130759103|1|20220530|080746|8005504|~       |      |~      |1|0|0|      |20220530|~       |0603|2022-06-10 07:01:53
121173|0000000546526932              |20220530|082819|031|674|0|30300100|130010002|130752358|1|20220530|081124|8001029|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121175|0000000544012371              |20220530|144120|027|676|0|30300088|130010006|130752001|4|20220530|142822|8001753|~       |      |~      |1|750|0|      |20220530|~       |0603|2022-06-10 07:01:53
121177|0000000588996550              |20220530|163127|003|676|0|30300051|130010008|130752107|4|20220530|153229|8002365|~       |      |~      |1|750|0|      |20220530|~       |0603|2022-06-10 07:01:53
121179|0000000520349363              |20220530|091452|024|680|0|30300026|130010014|130753603|1|20220530|081304|8003030|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121181|0000000303146874              |20220530|112523|003|675|1|30300056|130010012|130753319|1|20220530|110628|8002402|~       |      |~      |1|0|0|      |20220530|~       |0603|2022-06-10 07:01:53
121634|0000000753580077              |20220530|075751|019|676|0|30300090|130010005|130759207|1|20220530|072931|8002935|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121636|0000000666565137              |20220530|073937|031|675|0|30300067|130010001|130759731|1|20220530|053432|8002935|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121638|0000000764656020              |20220530|083740|003|675|0|30300060|130010014|130753522|1|20220530|053717|8002935|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121640|0000000918288288              |20220530|084301|025|676|0|30300040|130010007|130759385|1|20220530|075756|8002935|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121642|0000000735456145              |20220530|085746|023|676|0|30300041|130010012|130753377|1|20220530|065457|8002993|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121644|0000000742417148              |20220530|130122|002|675|0|30300067|130010001|130759701|1|20220530|123700|8002935|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
121646|0000000725479002              |20220530|132016|005|676|0|30300040|130010013|130759822|1|20220530|111819|8002935|~       |      |~      |2|1600|0|      |20220530|~       |0603|2022-06-10 07:01:53
121648|0000000716012924              |20220530|111239|007|675|0|30300067|130010001|130759707|1|20220530|090059|8002935|~       |      |~      |1|1250|0|      |20220530|~       |0603|2022-06-10 07:01:53
