SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
508030|0000000522441002              |20220526|203925|009|675|0|30300079|130010009|130759128|1|20220526|195823|8002802|~       |      |~      |1|1250|0|      |20220526|~       |0603|2022-06-06 07:05:32
508032|0000000541100338              |20220526|164142|014|675|0|30300047|130010001|130759718|4|20220526|162443|8001483|~       |      |~      |1|750|0|      |20220526|~       |0603|2022-06-06 07:05:32
508034|0000000548189275              |20220526|172218|002|675|0|30300079|130010009|130759123|4|20220526|163015|8001539|~       |      |~      |1|750|0|      |20220526|~       |0603|2022-06-06 07:05:32
508036|0000000544115076              |20220526|165457|014|675|0|30300079|130010009|130759118|1|20220526|161906|8002631|~       |      |~      |1|1250|0|      |20220526|~       |0603|2022-06-06 07:05:32
508038|0000000511665841              |20220526|181538|004|675|0|30300079|130010009|130759113|4|20220526|124314|8001365|~       |      |~      |1|750|0|      |20220526|~       |0603|2022-06-06 07:05:32
508040|0000000544633478              |20220526|183118|005|675|0|30300064|130010015|130759642|4|20220526|181325|8002628|~       |      |~      |1|750|0|      |20220526|~       |0603|2022-06-06 07:05:32
508042|0000000528838894              |20220526|184630|011|676|0|30300037|130010006|130752039|1|20220526|182957|8002340|~       |      |~      |1|1250|0|      |20220526|~       |0603|2022-06-06 07:05:32
508457|0000000744969956              |20220526|135955|011|676|0|30300089|130010011|130759577|1|20220526|121447|8002702|20220526|141753|8001420|1|1250|0|      |20220526|20220526|0603|2022-06-06 07:05:32
508459|0000000747373177              |20220526|140419|022|676|0|30300090|130010005|130759223|1|20220526|053931|8002425|20220526|142552|8002906|1|1250|0|      |20220526|20220526|0603|2022-06-06 07:05:32
508461|0000000734028935              |20220526|143436|014|676|0|30300089|130010011|130759536|1|20220526|125346|8002702|20220526|145217|8001420|1|1250|0|      |20220526|20220526|0603|2022-06-06 07:05:32
508463|0000000918217302              |20220526|154720|003|676|0|30300051|130010008|130752109|1|20220526|145805|8002733|20220526|161706|8007010|1|1250|0|      |20220526|20220526|0603|2022-06-06 07:05:32
