SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
311596|0000000793264228              |20220521|115617|005|676|0|30300051|130010008|130752142|1|20220521|110433|8002542|20220521|120411|8002365|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311598|0000000788848849              |20220521|144847|013|679|0|30300063|130010001|130759748|1|20220521|143422|8001994|20220521|152134|8002349|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311600|0000000785034599              |20220521|154830|003|676|0|30300087|130010008|130752159|1|20220521|142616|8001494|20220521|160154|8007445|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311602|0000000693507166              |20220521|162755|006|676|1|30300054|130010007|130759362|1|20220521|155119|8001989|20220521|170244|8001856|1|0|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311604|0000000785880375              |20220521|194156|020|676|0|30300071|130010009|130759174|1|20220521|183547|8001792|20220521|200529|8001380|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311606|0000000688797418              |20220521|175338|004|675|1|30300053|130010002|130752328|1|20220521|160652|8001494|20220521|180508|8001115|1|0|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311608|0000000796037776              |20220521|214906|007|674|0|30300002|130010007|130759337|1|20220521|205508|8002134|20220521|220105|8002911|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311610|0000000788364049              |20220521|120735|015|676|0|30300090|130010005|130759223|1|20220521|111739|8001721|20220521|122823|8002870|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311612|0000000400174143              |20220521|130851|014|676|0|30300087|130010015|130759621|1|20220521|115013|8001494|20220521|131456|8002551|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:43
311614|0000000400191172              |20220521|093810|021|676|1|30300090|130010005|130759206|1|20220521|092230|8002658|20220521|095320|8001109|1|0|0|      |20220521|20220521|0603|2022-06-01 07:02:43
306637|0000000725765267              |20220521|090630|018|676|0|30300090|130010005|130759260|1|20220521|054449|8002869|20220521|092541|8001532|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:44
306639|0000000729561274              |20220521|073435|020|675|0|30300056|130010012|130753331|1|20220521|071134|8002409|20220521|075740|8001707|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:44
306641|0000000738648384              |20220521|090041|027|676|0|30300043|130010015|130759630|1|20220521|083920|8001364|20220521|092051|8002730|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:44
306643|0000000704706608              |20220521|192336|006|676|0|30300071|130010009|130759146|1|20220521|180014|8001380|20220521|193141|8001182|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:44
306645|0000000726176390              |20220521|195539|029|676|0|30300040|130010013|130759818|1|20220521|172713|8003032|20220521|200048|8005516|1|1250|0|      |20220521|20220521|0603|2022-06-01 07:02:44
307071|0000000793682589              |20220521|182632|027|675|2|30300046|130010002|130752305|1|20220521|172821|8001644|~       |      |~      |1|0|0|      |20220521|~       |0603|2022-06-01 07:02:44
