SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
40215|0000000768939166              |20220604|231418|028|676|0|30300054|130010007|130759357|1|20220604|222839|8001555|20220604|232114|8002943|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:20
40217|0000000765944612              |20220604|061927|011|676|0|30300054|130010007|130759384|1|20220604|053256|8001555|20220604|062634|8002943|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:20
40219|0000000645114698              |20220604|063459|023|676|0|30300089|130010011|130759513|1|20220604|050740|8002532|20220604|065457|8002468|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:20
40221|0000000779787683              |20220604|065655|026|676|0|30300089|130010011|130759521|1|20220604|061158|8002532|20220604|071420|8002468|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:20
40223|0000000712273247              |20220604|074642|027|676|0|30300089|130010011|130759504|1|20220604|065513|8002532|20220604|080706|8002468|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:20
40225|0000000764406563              |20220604|085209|018|676|0|30300089|130010011|130759519|1|20220604|062507|8002814|20220604|090847|8002208|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:20
48681|0000000766980940              |20220604|152447|031|676|1|30300041|130010012|130753327|1|20220604|150619|8002720|20220604|155636|8002650|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48683|0000000715068191              |20220604|154355|016|676|1|30300054|130010007|130759355|1|20220604|150306|8002814|20220604|161811|8002911|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48685|0000000905457422              |20220604|163838|024|676|1|30300054|130010007|130759382|1|20220604|160528|8002814|20220604|165706|8003005|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48687|0000000752771213              |20220604|161624|022|676|1|30300089|130010011|130759575|1|20220604|133341|8002814|20220604|164256|8002072|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48689|0000000908629991              |20220604|161552|007|676|1|30300089|130010011|130759575|1|20220604|133341|8002814|20220604|170812|8002891|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48691|0000000754544623              |20220604|163405|018|676|1|30300037|130010006|130752039|1|20220604|160434|8002720|20220604|171012|8001097|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48693|0000000756682515              |20220604|123356|011|676|1|30300089|130010011|130759517|1|20220604|095724|8002814|20220604|130312|8005879|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48695|0000000906014317              |20220604|124559|005|676|1|30300090|130010005|130759223|1|20220604|102740|8002720|20220604|130125|8001078|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48697|0000000771630533              |20220604|125809|031|676|1|30300089|130010011|130759513|1|20220604|101024|8002814|20220604|132756|8002072|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48699|0000000714102967              |20220604|130341|002|676|1|30300054|130010007|130759384|1|20220604|110227|8002814|20220604|133749|8002910|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48701|0000000745460582              |20220604|133353|003|676|1|30300037|130010006|130759012|1|20220604|131009|8002720|20220604|140732|8001097|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48703|0000000903140900              |20220604|140158|013|676|1|30300090|130010005|130759206|1|20220604|132441|8002814|20220604|141331|8002378|1|0|0|      |20220604|20220604|0603|2022-06-15 07:00:21
48705|0000000720795782              |20220604|141314|007|675|0|30300101|130010002|130752354|4|20220604|131605|8002814|20220604|141447|8002559|1|750|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50317|0000000634817295              |20220604|181737|010|676|0|30300072|130010001|130759706|1|20220604|175309|8001576|20220604|182815|8002906|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50319|0000000743459987              |20220604|184513|014|676|0|30300072|130010001|130759435|1|20220604|182310|8001412|20220604|190153|8001921|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50321|0000000772706899              |20220604|154019|006|676|0|30300072|130010001|130759427|1|20220604|150010|8002986|20220604|155442|8002076|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50323|0000000774163701              |20220604|155212|010|676|0|30300072|130010001|130759432|1|20220604|153842|8002345|20220604|155845|8001412|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50325|0000000728251434              |20220604|162205|023|676|0|30300072|130010001|130759429|1|20220604|141638|8001228|20220604|163254|8002155|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50327|0000000725147925              |20220604|163657|015|676|0|30300072|130010001|130759427|1|20220604|150010|8001060|20220604|164053|8001710|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50329|0000000725676874              |20220604|171258|005|676|0|30300072|130010001|130759714|1|20220604|170113|8002486|20220604|171512|8002488|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50331|0000000778909319              |20220604|124554|003|676|0|30300090|130010005|130759268|1|20220604|123423|8002608|20220604|125952|8002763|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50333|0000000903056807              |20220604|125214|012|676|0|30300072|130010001|130759423|1|20220604|123739|8002488|20220604|125401|8002357|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50335|0000000742729274              |20220604|130418|003|676|0|30300090|130010005|130759268|1|20220604|123423|8002954|20220604|131619|8001919|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50337|0000000743740480              |20220604|131936|019|676|0|30300072|130010001|130759706|1|20220604|125302|8001995|20220604|135108|8001831|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50339|0000000724319508              |20220604|125450|019|676|0|30300072|130010001|130759483|1|20220604|103141|8002040|20220604|131234|8001236|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50341|0000000743461714              |20220604|141704|011|676|0|30300072|130010001|130759434|1|20220604|134213|8001921|20220604|145004|8002452|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50748|0000000716503984              |20220604|160812|002|676|0|30300037|130010006|130752039|1|20220604|160434|8002920|20220604|162139|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50750|0000000757595555              |20220604|120040|008|676|0|30300037|130010006|130752031|1|20220604|115419|8002920|20220604|121004|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50752|0000000668942908              |20220604|221022|026|676|0|30300037|130010006|130752037|1|20220604|220533|8002920|20220604|221448|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50754|0000000726016366              |20220604|093225|027|676|0|30300037|130010006|130759004|1|20220604|092949|8002920|20220604|094238|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50756|0000000442050553              |20220604|123030|030|676|0|30300037|130010006|130752002|1|20220604|115407|8002920|20220604|124119|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50758|0000000723479415              |20220604|193756|023|676|0|30300038|130010014|130753508|1|20220604|185427|8002920|20220604|194201|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
50760|0000000920892561              |20220604|205807|027|676|0|30300037|130010006|130752050|1|20220604|174905|8002920|20220604|210216|8002973|1|1250|0|      |20220604|20220604|0603|2022-06-15 07:00:21
