SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
492523|0000000545466987              |20220523|185109|014|832|1|30300128|130710001|130759920|1|20220523|070404|8007290|20220523|191146|8001420|1|450|0|      |20220523|20220523|0603|2022-06-03 07:03:37
492525|0000000541991281              |20220523|072657|030|673|0|30300003|130510004|130751003|4|20220523|052829|8007230|20220523|073845|8001703|1|650|0|      |20220523|20220523|0603|2022-06-03 07:03:37
492527|0000000544013656              |20220523|072702|024|673|0|30300004|130510004|130751100|4|20220523|054435|8001794|20220523|073732|8002539|1|650|0|      |20220523|20220523|0603|2022-06-03 07:03:37
492529|0000000317323442              |20220523|093438|026|832|0|30300128|130710001|130759914|1|20220523|060217|3056002|20220523|094946|8007296|1|1700|0|      |20220523|20220523|0603|2022-06-03 07:03:37
438385|0000000678232535              |20220523|073012|028|832|0|30300128|130710001|130759930|1|20220523|063409|8007291|20220523|080843|8007055|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438387|0000000776474267              |20220523|121657|002|832|0|30300128|130710001|130759930|1|20220523|063409|8007057|20220523|130132|8007268|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438389|0000000777629873              |20220523|122039|014|832|0|30300128|130710001|130759930|1|20220523|063409|8007401|20220523|125841|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438391|0000000757610067              |20220523|122255|013|832|0|30300128|130710001|130759930|1|20220523|063409|8007296|20220523|125845|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438393|0000000715428015              |20220523|120648|027|832|0|30300128|130710001|130759930|1|20220523|063409|8007493|20220523|130136|8007268|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438395|0000000732176534              |20220523|121042|029|832|0|30300128|130710001|130759930|1|20220523|063409|8007080|20220523|125836|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438397|0000000768310474              |20220523|121324|001|832|0|30300128|130710001|130759930|1|20220523|063409|3062004|20220523|125852|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438399|0000000723169038              |20220523|142529|006|832|0|30300128|130710001|130759930|1|20220523|063409|8007412|20220523|150016|8007295|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438401|0000000725522402              |20220523|142533|009|832|1|30300128|130710001|130759930|1|20220523|063409|8007412|20220523|150143|8007297|1|450|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438430|0000000912311329              |20220523|160824|006|832|1|30300128|130710001|130759930|1|20220523|063409|8007080|20220523|163808|8007290|1|300|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438432|0000000668531508              |20220523|160309|005|832|0|30300128|130710001|130759930|1|20220523|063409|3014017|20220523|170102|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438434|0000000778128227              |20220523|160825|019|832|0|30300128|130710001|130759930|1|20220523|063409|8007080|20220523|164828|8007280|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438436|0000000701325314              |20220523|160929|010|832|1|30300128|130710001|130759930|1|20220523|063409|3062007|20220523|164833|8007280|1|300|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438438|0000000749383780              |20220523|161304|007|832|0|30300128|130710001|130759930|1|20220523|063409|3053004|20220523|170019|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438440|0000000904405030              |20220523|161431|012|832|0|30300128|130710001|130759930|1|20220523|063409|8007057|20220523|164853|8007280|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438442|0000000725765100              |20220523|161437|021|832|1|30300128|130710001|130759930|1|20220523|063409|8007057|20220523|165357|8007274|1|300|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438444|0000000727028227              |20220523|161849|031|832|0|30300128|130710001|130759930|1|20220523|063409|8007298|20220523|165900|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438446|0000000904242100              |20220523|162200|005|832|0|30300128|130710001|130759930|1|20220523|063409|8007294|20220523|164838|8007280|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
438448|0000000746119675              |20220523|162704|010|832|0|30300128|130710001|130759930|1|20220523|063409|8007292|20220523|170106|8001420|1|1700|300|      |20220523|20220523|0603|2022-06-03 07:03:18
