SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
523513|0000000525793604              |20220520|143713|004|675|0|30300084|130010001|130759785|4|20220520|132416|8002038|20220520|144146|8002465|1|750|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523515|0000000319487477              |20220520|145447|013|676|0|30300054|130010007|130759351|4|20220520|141033|8002452|20220520|145831|8002161|1|750|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523517|0000000543688010              |20220520|141226|015|676|0|30300089|130010011|130759576|4|20220520|132015|8002556|20220520|152224|8002134|1|750|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523519|0000000533165606              |20220520|153603|009|675|0|30300146|130010008|130752711|4|20220520|145035|8007178|20220520|153959|8007503|1|750|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523521|0000000536735087              |20220520|220513|006|676|0|30300041|130010012|130753377|1|20220520|135651|8001076|20220520|221102|8002088|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523523|0000000546623754              |20220520|190107|029|676|0|30300089|130010011|130759576|1|20220520|155702|8002969|20220520|191607|8002206|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523525|0000000531265240              |20220520|190954|016|676|0|30300070|130010004|130752603|1|20220520|170919|8002296|20220520|192407|8002454|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523959|0000000521111255              |20220520|164219|009|676|1|30300087|130010008|130752141|1|20220520|160436|8002453|20220520|164551|8002088|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523961|0000000529951377              |20220520|171112|007|676|1|30300037|130010006|130752002|1|20220520|155459|8002411|20220520|173300|8002921|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523963|0000000139714397              |20220520|175401|018|676|2|30300090|130010005|130759218|1|20220520|164607|8002411|20220520|180120|8007556|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523965|0000000524340717              |20220520|222706|020|676|1|30300041|130010012|130753321|1|20220520|192035|8002411|20220520|223723|9001641|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523967|0000000533801514              |20220520|222747|026|676|1|30300130|130010008|130752148|1|20220520|215850|8002437|20220520|223527|8002340|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523969|0000000516479685              |20220520|072425|029|676|1|30300054|130010007|130759381|1|20220520|064954|8002453|20220520|075814|8001793|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523971|0000000513166755              |20220520|075527|001|674|1|30300100|130010002|130752348|1|20220520|064916|8001348|20220520|080934|8001929|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523973|0000000536722047              |20220520|114952|029|676|1|30300038|130010014|130753501|1|20220520|112315|8001348|20220520|121600|8002793|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523975|0000000279288766              |20220520|131534|028|676|1|30300054|130010007|130759354|1|20220520|054737|8002453|20220520|135207|8001793|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523977|0000000294238877              |20220520|144942|008|675|2|30300077|130010006|130752034|1|20220520|141322|8001929|20220520|151342|8001589|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523979|0000000270699945              |20220520|153725|009|675|1|30300055|130010014|130753249|1|20220520|142842|8001929|20220520|154841|8001663|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523981|0000000177476156              |20220520|215916|009|676|1|30300072|130010001|130759421|1|20220520|202045|8002453|20220520|220426|8001575|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523983|0000000545944717              |20220520|215113|008|674|1|30300100|130010002|130752397|1|20220520|210305|8001348|20220520|222429|8001158|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
523985|0000000536743480              |20220520|182659|022|675|1|30300045|130010006|130752048|1|20220520|174044|8002721|20220520|185131|8002142|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524392|0000000131152397              |20220520|184913|020|675|1|30300081|130010011|130759502|1|20220520|165105|8002088|20220520|191047|8002426|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524394|0000000506818737              |20220520|194944|001|675|1|30300048|130010006|130752069|1|20220520|191436|8001681|20220520|195656|8007542|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524396|0000000525280166              |20220520|202541|001|676|1|30300041|130010012|130753324|1|20220520|194029|8002088|20220520|204242|8002994|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524398|0000000528336116              |20220520|152245|005|676|1|30300088|130010002|130752338|1|20220520|145125|8002402|20220520|155531|8001305|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524400|0000000170817137              |20220520|161658|013|675|1|30300056|130010012|130753317|1|20220520|135100|8002402|20220520|165112|8001707|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524402|0000000521994861              |20220520|163613|017|676|1|30300036|130010011|130759503|1|20220520|162321|8001681|20220520|170327|8002721|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524404|0000000515674922              |20220520|165848|017|676|1|30300037|130010006|130752031|1|20220520|164141|8002402|20220520|172701|8001005|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524406|0000000514763572              |20220520|181929|015|676|1|30300130|130010008|130752720|1|20220520|171828|8002824|20220520|182458|8002448|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524408|0000000527907426              |20220520|175725|030|676|1|30300088|130010006|130752023|1|20220520|171842|8002402|20220520|183305|8001303|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524410|0000000277146883              |20220520|084351|017|676|2|30300070|130010004|130752205|1|20220520|065127|8002816|20220520|085025|8002296|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
524412|0000000170893092              |20220520|095816|028|676|1|30300051|130010008|130752132|1|20220520|090930|8001940|20220520|102259|8001097|1|0|0|      |20220520|20220520|0603|2022-05-31 16:06:16
530597|0000000531162174              |20220520|154901|014|675|0|30300055|130010014|130753269|1|20220520|150157|8002339|20220520|155217|8001348|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
530599|0000000545683187              |20220520|160825|023|676|0|30300070|130010004|130752228|4|20220520|152654|8001869|20220520|163059|8002620|1|750|0|      |20220520|20220520|0603|2022-05-31 16:06:16
530601|0000000301548642              |20220520|163613|013|676|0|30300054|130010007|130759383|1|20220520|155933|8001325|20220520|165000|8002452|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
530603|0000000536768075              |20220520|170558|002|675|0|30300053|130010002|130752319|4|20220520|165847|8006006|20220520|173422|8002119|1|750|0|      |20220520|20220520|0603|2022-05-31 16:06:16
530605|0000000504872080              |20220520|181619|028|675|0|30300080|130010009|130759172|1|20220520|160443|8001549|20220520|182601|8002464|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
530607|0000000536920752              |20220520|175820|022|675|0|30300049|130010004|130752264|1|20220520|171345|8002966|20220520|181549|8001903|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
531657|0000000906728925              |20220520|081758|008|675|1|30300062|130010008|130752721|1|20220520|080944|8001102|~       |      |~      |1|150|0|      |20220520|~       |0603|2022-05-31 16:06:16
531659|0000000649068979              |20220520|083746|003|675|0|30300084|130010001|130759418|1|20220520|081611|8001364|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531661|0000000763258231              |20220520|091420|017|676|1|30300073|130010009|130759122|4|20220520|085611|8001102|~       |      |~      |1|100|0|      |20220520|~       |0603|2022-05-31 16:06:16
531663|0000000648363571              |20220520|093729|027|675|0|30300149|130810001|130753618|1|20220520|091825|8001102|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531665|0000000753250636              |20220520|172515|016|675|0|30300062|130010008|130752721|1|20220520|171121|8001102|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531667|0000000650330835              |20220520|174349|010|679|0|30300063|130010001|130759774|1|20220520|165623|8001364|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531669|0000000441853852              |20220520|181015|031|676|0|30300043|130010015|130759640|1|20220520|162127|8001364|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531671|0000000903552672              |20220520|185644|007|676|0|30300054|130010007|130759376|1|20220520|182138|8001102|~       |      |~      |2|2500|0|      |20220520|~       |0603|2022-05-31 16:06:16
531673|0000000768560286              |20220520|185955|029|675|0|30300058|130010004|130752291|4|20220520|185140|8005895|~       |      |~      |1|750|0|      |20220520|~       |0603|2022-05-31 16:06:16
531675|0000000756809747              |20220520|125059|011|675|0|30300058|130010004|130752295|1|20220520|055628|8005895|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531677|0000000673822662              |20220520|214749|002|675|0|30300058|130010004|130752288|1|20220520|202257|8005895|~       |      |~      |2|2500|0|      |20220520|~       |0603|2022-05-31 16:06:16
531679|0000000760068195              |20220520|161841|012|675|0|30300066|130010015|130759687|4|20220520|160124|8001364|~       |      |~      |1|750|0|      |20220520|~       |0603|2022-05-31 16:06:16
531681|0000000763700273              |20220520|170029|016|675|0|30300058|130010004|130752202|1|20220520|165054|8005895|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531683|0000000626740044              |20220520|073920|005|676|0|30300131|130010008|130752722|1|20220520|073019|8007363|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531685|0000000765994412              |20220520|081457|012|675|0|30300058|130010004|130752290|1|20220520|064648|8005895|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531867|0000000747263990              |20220520|194616|007|676|0|30300131|130010008|130752707|1|20220520|194215|8005856|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531869|0000000748439254              |20220520|203622|008|676|0|30300072|130010001|130759435|1|20220520|200544|8002039|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531871|0000000903920415              |20220520|114523|001|675|0|30300078|130010008|130752168|1|20220520|103233|8001635|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531873|0000000746615814              |20220520|161949|014|675|1|30300080|130010009|130759172|1|20220520|160443|8002039|~       |      |~      |1|0|0|      |20220520|~       |0603|2022-05-31 16:06:16
531875|0000000648182942              |20220520|162614|020|675|0|30300101|130010002|130752320|1|20220520|161740|8005856|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531877|0000000738923543              |20220520|073755|018|675|0|30300078|130010008|130752172|1|20220520|073221|8001635|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531879|0000000730402006              |20220520|074258|030|676|0|30300086|130010013|130759801|1|20220520|060807|8002039|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531881|0000000743441196              |20220520|075902|004|676|0|30300086|130010013|130759823|1|20220520|061331|8002039|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531883|0000000779060345              |20220520|081218|010|674|0|30300104|130010002|130752303|1|20220520|080759|8070010|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531885|0000000733184086              |20220520|082339|005|676|0|30300070|130010004|130752224|1|20220520|074209|8002796|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531887|0000000719531794              |20220520|083429|023|676|0|30300070|130010004|130752226|1|20220520|060337|8002796|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531889|0000000776812422              |20220520|093500|005|674|0|30300104|130010002|130752341|1|20220520|090656|8005997|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531891|0000000665288263              |20220520|175017|016|674|0|30300104|130010002|130752355|1|20220520|150947|8005997|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531893|0000000911263876              |20220520|180223|008|675|0|30300061|130010015|130759691|1|20220520|171417|8002796|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
531895|0000000655392074              |20220520|190808|020|674|0|30300104|130010002|130752303|1|20220520|183823|8005997|~       |      |~      |1|1250|0|      |20220520|~       |0603|2022-05-31 16:06:16
532096|0000000770971456              |20220520|223332|030|675|0|30300067|130010001|130759412|1|20220520|223007|8001649|20220520|234055|8001832|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509251|0000000535439316              |20220520|133052|001|676|0|30300088|130010002|130752356|1|20220520|132616|8002134|20220520|143212|8002960|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509253|0000000544780049              |20220520|155258|001|676|0|30300088|130010002|130752511|1|20220520|154803|8002134|20220520|155940|8001631|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509255|0000000523535697              |20220520|213015|001|676|0|30300037|130010006|130752037|1|20220520|203722|8001097|20220520|213828|8002345|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509257|0000000127601659              |20220520|215457|001|674|0|30300002|130010007|130759329|1|20220520|205835|8002134|20220520|220947|8001793|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509259|0000000318512119              |20220520|191527|001|676|0|30300088|130010006|130752023|1|20220520|171842|8002134|20220520|193857|8001556|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509261|0000000293216027              |20220520|194358|001|674|0|30300002|130010007|130759307|1|20220520|184840|8002134|20220520|195655|8001283|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
509263|0000000545633342              |20220520|161223|001|677|0|30300035|130010009|130759119|1|20220520|150439|8002134|20220520|162227|8002092|1|1250|0|      |20220520|20220520|0603|2022-05-31 16:06:16
