SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
524164|0000000549794038              |20220527|165540|004|675|0|30300082|130010001|130759778|1|20220527|154146|8005998|20220527|170127|8001370|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:54
524166|0000000302176242              |20220527|170551|009|676|0|30300069|130010001|130759437|1|20220527|162634|8002648|20220527|171249|8007369|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:54
524168|0000000171817479              |20220527|171527|005|675|0|30300082|130010001|130759736|1|20220527|170006|8002449|20220527|174526|8002925|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:54
524170|0000000545594077              |20220527|182650|028|675|0|30300094|130010014|130753616|1|20220527|171903|8001395|20220527|183318|8005563|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:54
524172|0000000509471979              |20220527|110436|007|676|0|30300069|130010001|130759751|1|20220527|064907|8001587|20220527|112912|8001097|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:54
527616|0000000903466428              |20220527|133909|005|676|0|30300043|130010015|130759689|1|20220527|133346|8005587|20220527|142037|8002888|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527618|0000000713704046              |20220527|161825|005|675|0|30300076|130010014|130753232|1|20220527|161246|8002831|20220527|164621|8002388|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527620|0000000777575515              |20220527|183729|002|676|0|30300089|130010011|130759516|1|20220527|170126|8002468|20220527|184201|8001565|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527622|0000000716893586              |20220527|195914|027|675|0|30300060|130010014|130753241|1|20220527|171041|8002851|20220527|201037|8001005|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527624|0000000661607859              |20220527|094418|012|675|0|30300076|130010014|130753207|1|20220527|093333|8002822|20220527|101741|8001935|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527626|0000000725683770              |20220527|054226|022|675|0|30300081|130010011|130759505|1|20220527|053842|8002064|20220527|061135|8002087|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527628|0000000741587059              |20220527|061825|008|680|0|30300026|130010014|130753604|1|20220527|051550|8001670|20220527|064102|8003024|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527630|0000000647459610              |20220527|080630|028|675|0|30300066|130010015|130759605|1|20220527|075300|8001653|20220527|084618|8001254|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527632|0000000918345715              |20220527|084733|017|677|0|30300120|130010011|130759579|1|20220527|053842|8002959|20220527|091617|8001151|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527634|0000000762042096              |20220527|095445|008|676|0|30300070|130010004|130752606|1|20220527|053149|8001939|20220527|103152|8003101|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527636|0000000614809378              |20220527|115500|017|675|0|30300095|130010005|130759229|1|20220527|050902|8002761|20220527|122453|8001947|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527352|0000000786975524              |20220527|101213|030|676|0|30300131|130010008|130752722|1|20220527|100332|8007283|20220527|104330|8001089|2|2500|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527354|0000000400126570              |20220527|103247|013|676|1|30300130|130010008|130752718|1|20220527|095707|8002635|20220527|111015|8002446|1|0|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527356|0000000400182155              |20220527|112834|027|675|0|30300056|130010012|130753322|1|20220527|102832|8001368|20220527|115545|8005916|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527358|0000000400168215              |20220527|115032|018|676|0|30300036|130010012|130753333|1|20220527|111852|8001596|20220527|121745|8002733|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527360|0000000400127462              |20220527|115801|007|675|0|30300094|130010012|130753329|1|20220527|054803|8005950|20220527|121617|8002935|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527362|0000000400189863              |20220527|130117|005|678|0|30300074|130010014|130753237|1|20220527|123844|8002027|20220527|131956|8001412|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527364|0000000695537428              |20220527|134631|016|675|1|30300078|130010008|130752171|1|20220527|133021|8002733|20220527|142600|8001536|1|0|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527366|0000000400195707              |20220527|150414|001|676|0|30300130|130010008|130752140|1|20220527|143725|8002603|20220527|154555|8002448|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527368|0000000694840026              |20220527|150920|019|675|0|30300060|130010014|130753523|1|20220527|145137|8001787|20220527|151857|8002244|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527370|0000000400169861              |20220527|154603|027|675|0|30300078|130010008|130752171|1|20220527|151310|8001419|20220527|160652|8001360|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527372|0000000785770624              |20220527|150740|002|675|0|30300060|130010014|130753523|1|20220527|145137|8001099|20220527|153839|8002159|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527779|0000000904036504              |20220527|102721|005|675|0|30300064|130010015|130759683|1|20220527|101414|8001253|20220527|105635|8001527|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527781|0000000722326513              |20220527|123535|029|675|0|30300127|130010004|130752245|1|20220527|122900|8001028|20220527|124026|8001290|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527783|0000000768475156              |20220527|133121|031|675|0|30300064|130010015|130759673|1|20220527|130100|8002484|20220527|134858|8001979|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527785|0000000759805593              |20220527|140803|023|675|0|30300080|130010009|130759152|1|20220527|134842|8001996|20220527|142853|8001987|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
527787|0000000669718562              |20220527|145358|018|676|0|30300054|130010007|130759375|1|20220527|140800|8001055|20220527|151459|8001847|1|1250|0|      |20220527|20220527|0603|2022-06-07 07:02:55
