SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
184218|0000000909496244              |20220529|211914|016|676|0|30300088|130010002|130752511|1|20220529|202953|8001196|20220529|212619|8002410|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181243|0000000301969653              |20220529|164412|027|832|0|30300128|130710001|130759913|1|20220529|051308|3056002|20220529|165155|3053004|1|1700|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181245|0000000319597249              |20220529|103924|024|673|1|30300001|130510004|130751006|1|20220529|055426|8002394|20220529|104254|8001195|1|0|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181247|0000000540233388              |20220529|173429|014|675|0|30300145|130010014|130753529|4|20220529|172442|8001193|20220529|180849|8002070|2|1500|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181704|0000000725568700              |20220529|111558|018|676|0|30300068|130010006|130752032|1|20220529|105442|8001543|20220529|113452|8007177|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181706|0000000764586917              |20220529|155846|006|676|0|30300043|130010015|130759619|1|20220529|153726|8001831|20220529|162805|8001789|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181708|0000000613059242              |20220529|211833|024|676|0|30300130|130010008|130752145|1|20220529|210724|8002447|20220529|213500|8002341|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181710|0000000461385739              |20220529|174228|007|676|0|30300087|130010015|130759679|1|20220529|173550|8002131|20220529|184934|8001276|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181712|0000000725463150              |20220529|143224|021|676|0|30300037|130010006|130759004|1|20220529|133401|8002316|20220529|144331|8002488|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181714|0000000725235041              |20220529|152007|009|676|0|30300130|130010008|130752145|1|20220529|135613|8002823|20220529|153056|8007360|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181716|0000000742874418              |20220529|205242|001|676|0|30300054|130010007|130759347|1|20220529|201306|8002202|20220529|211038|8002911|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181718|0000000741431700              |20220529|223818|020|676|0|30300040|130010013|130759873|1|20220529|215209|8001086|20220529|225127|8001032|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181720|0000000903842361              |20220529|172805|015|676|0|30300051|130010008|130752161|1|20220529|165727|8001009|20220529|175437|8002437|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181722|0000000658816899              |20220529|184318|030|676|0|30300040|130010007|130759366|1|20220529|180144|8002075|20220529|184755|8002935|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181724|0000000731733042              |20220529|072014|001|676|0|30300040|130010007|130759359|1|20220529|071253|8001891|20220529|075153|8002954|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
181726|0000000622770924              |20220529|083223|026|676|0|30300089|130010011|130759502|1|20220529|053055|8005508|20220529|084208|8001309|1|1250|0|      |20220529|20220529|0603|2022-06-09 07:01:48
