SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
378002|0000000166904641              |20220528|062301|002|675|0|30300080|130010009|130759103|1|20220528|054403|8001398|20220528|063616|8001420|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378004|0000000102455219              |20220528|092009|011|675|0|30300053|130010002|130752386|1|20220528|084139|8002966|20220528|094237|8001567|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378411|0000000310058427              |20220528|103900|030|675|0|30300083|130010001|130759478|4|20220528|102454|8002296|20220528|104750|8002727|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378413|0000000511081054              |20220528|103856|011|675|0|30300083|130010001|130759478|1|20220528|102454|8002296|20220528|110656|8001539|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378415|0000000543672407              |20220528|104543|005|676|0|30300037|130010006|130752011|4|20220528|093854|8002339|20220528|105559|8007268|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378417|0000000544012000              |20220528|131255|028|676|0|30300070|130010004|130752604|4|20220528|125644|8002296|20220528|132536|8002454|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378419|0000000265230469              |20220528|133756|020|674|0|30300100|130010002|130752344|1|20220528|132926|8002351|20220528|135815|8002118|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378421|0000000124336526              |20220528|204651|019|676|0|30300070|130010004|130752603|1|20220528|203040|8002296|20220528|204815|8002307|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378423|0000000543639812              |20220528|071217|004|676|0|30300051|130010008|130752124|1|20220528|064835|8001029|20220528|073410|8002629|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378425|0000000546090095              |20220528|080355|029|674|0|30300002|130010007|130759326|4|20220528|074807|8001792|20220528|081129|8002437|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378427|0000000535360077              |20220528|085952|016|676|0|30300037|130010006|130759011|1|20220528|071326|8002339|20220528|090709|8002358|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378429|0000000538081421              |20220528|080610|016|676|0|30300051|130010008|130752161|1|20220528|073627|8001029|20220528|083730|8001418|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378431|0000000125460649              |20220528|134838|010|675|0|30300055|130010014|130753261|1|20220528|131339|8002339|20220528|135736|8001529|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378433|0000000535112596              |20220528|161135|018|676|0|30300071|130010009|130759106|4|20220528|121825|8001792|20220528|164412|8002814|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378435|0000000527190636              |20220528|084922|012|674|0|30300002|130010007|130759337|1|20220528|083313|8001792|20220528|085738|8001418|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378437|0000000539967586              |20220528|075302|017|674|0|30300002|130010007|130759324|1|20220528|073820|8001792|20220528|084208|8002134|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378844|0000000906376905              |20220528|134730|001|674|0|30300104|130010002|130752505|1|20220528|125347|8002452|20220528|141032|8001028|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378846|0000000903385257              |20220528|141208|022|676|0|30300090|130010005|130759219|1|20220528|122645|8002984|20220528|142810|8006006|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378848|0000000742354459              |20220528|143636|004|676|0|30300037|130010006|130759027|1|20220528|142024|8002343|20220528|144800|8001096|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378850|0000000743423106              |20220528|144116|001|675|0|30300047|130010001|130759438|1|20220528|142907|8002411|20220528|144900|8007556|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378852|0000000774599860              |20220528|161754|001|676|0|30300037|130010006|130752038|1|20220528|155843|8002343|20220528|162010|8001036|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378854|0000000679722007              |20220528|161759|001|676|0|30300037|130010006|130752038|1|20220528|155843|8002343|20220528|162353|8001036|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378856|0000000756533866              |20220528|160507|002|676|0|30300037|130010006|130759004|1|20220528|142131|8002343|20220528|164542|8001296|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
